timestamp,ros_delay_ms,yolo_infer_ms,node_latency_ms,roi_kb,detections,gpu_%,cpu_%,power_mW,ram_MB
1776591355.9930165,155.1,21.17,31.28,10.5,0,78,45.8,7475,6125
1776591356.0276392,153.6,21.12,32.55,10.5,1,78,45.8,7475,6125
1776591356.0623953,155.93,22.85,32.71,10.5,1,78,45.8,7475,6125
1776591356.0932906,156.89,19.89,28.76,10.4,1,78,45.8,7475,6125
1776591356.1253397,154.74,20.65,29.62,10.5,1,78,45.8,7475,6125
1776591356.1565206,151.71,21.09,29.49,10.5,1,78,45.8,7475,6125
1776591356.187212,150.47,19.88,28.73,10.5,1,78,45.8,7475,6125
1776591356.218271,165.87,20.15,29.37,10.5,1,78,45.8,7475,6125
1776591356.2502463,162.53,21.37,30.25,10.4,0,78,45.8,7475,6125
1776591356.284726,160.24,20.97,32.13,10.5,1,78,45.8,7475,6125
1776591356.3210843,163.56,23.47,34.23,10.5,1,78,45.8,7475,6125
1776591356.3552604,150.53,21.87,30.19,10.4,1,78,45.8,7475,6125
1776591356.390732,148.32,21.88,31.79,10.5,0,78,45.8,7475,6125
1776591356.4240282,148.61,20.03,31.36,10.4,0,78,45.8,7475,6125
1776591356.4535453,153.01,19.78,27.79,10.5,2,78,45.8,7475,6125
1776591356.483919,164.59,20.09,28.79,10.4,2,78,45.8,7475,6125
1776591356.5141363,163.63,19.68,28.54,10.4,0,78,45.8,7475,6125
1776591356.5439904,159.35,19.97,28.19,10.5,1,78,45.8,7475,6125
1776591356.5758963,155.92,20.28,30.14,10.4,2,78,45.8,7475,6125
1776591356.610564,156.91,22.23,32.05,10.5,1,78,45.8,7475,6125
1776591356.6424003,155.57,19.91,29.51,10.5,1,78,45.8,7475,6125
1776591356.67285,154.35,19.95,28.77,10.5,1,78,45.8,7475,6125
1776591356.70417,166.59,19.97,29.15,10.5,1,78,45.8,7475,6125
1776591356.7353477,163.91,20.58,29.07,10.5,2,78,45.8,7475,6125
1776591356.7657113,163.4,20.59,28.66,10.5,1,78,45.8,7475,6125
1776591356.7964828,160.9,19.55,28.97,10.4,0,78,45.8,7475,6125
1776591356.8275878,158.13,19.88,29.39,10.4,1,78,45.8,7475,6125
1776591356.8577526,155.35,19.87,28.31,10.4,1,78,45.8,7475,6125
1776591356.8873088,152.22,19.65,27.66,10.5,0,62,42.7,7463,6125
1776591356.9191449,164.21,20.36,29.98,10.5,1,62,42.7,7463,6125
1776591356.952512,165.22,20.95,30.98,10.5,1,62,42.7,7463,6125
1776591356.9854271,163.17,21.22,31.22,10.5,1,62,42.7,7463,6125
1776591357.0181937,163.19,21.23,31.06,10.5,1,62,42.7,7463,6125
1776591357.0517986,162.58,22.35,31.89,10.5,1,62,42.7,7463,6125
1776591357.0853868,162.92,20.88,31.34,10.5,2,62,42.7,7463,6125
1776591357.116783,165.83,20.96,29.72,10.4,2,62,42.7,7463,6125
1776591357.146732,160.48,19.94,28.24,10.5,1,62,42.7,7463,6125
1776591357.1772897,158.26,19.77,28.7,10.5,2,62,42.7,7463,6125
1776591357.207547,155.77,19.87,28.5,10.4,1,62,42.7,7463,6125
1776591357.2378402,152.8,20.1,28.39,10.5,0,62,42.7,7463,6125
1776591357.2681854,161.39,19.64,28.42,10.5,1,62,42.7,7463,6125
