event_id,label_type,time,count,maglat,Bmag,in_saa,detector,channel,note
53,o,2025-11-04 19:00:00+00:00,0.7422222222222222,-73.8,41202.3,False,metop03,omni_p6,
53,p,2025-11-05 13:15:00+00:00,975.1977777777778,2.8,17236.3,True,metop03,omni_p6,
53,e,2025-11-06 18:45:00+00:00,0.1488888888888889,-11.4,22886.7,True,metop03,omni_p6,
54,o,2024-09-23 17:45:00+00:00,0.64,-88.0,40022.9,False,metop03,omni_p6,
54,p,2024-09-24 12:15:00+00:00,0.9755555555555556,-67.4,33138.5,False,metop03,omni_p6,
54,e,2024-09-26 18:00:00+00:00,0.32,-8.9,21606.8,True,metop03,omni_p6,
55,o,2024-01-22 06:15:00+00:00,0.5077777777777778,65.3,41319.4,False,metop03,omni_p6,
55,p,2024-01-22 15:15:00+00:00,0.73,-32.5,22707.1,True,metop03,omni_p6,
55,e,2024-01-23 06:00:00+00:00,0.2433333333333333,47.1,39011.7,False,metop03,omni_p6,
56,o,2023-07-24 16:45:00+00:00,0.3877777777777778,-62.7,38311.0,False,metop03,omni_p6,
56,p,2023-07-25 12:00:00+00:00,1.57,72.6,40764.1,False,metop03,omni_p6,
56,e,2023-07-28 15:30:00+00:00,0.1411111111111111,-32.3,34894.6,False,metop03,omni_p6,
58,o,2023-07-10 06:00:00+00:00,0.9766666666666668,-34.8,25395.6,False,metop03,omni_p6,
58,p,2023-07-10 21:15:00+00:00,0.9977777777777778,-43.0,37301.2,False,metop03,omni_p6,
58,e,2023-07-11 15:00:00+00:00,0.7055555555555556,33.6,37848.5,False,metop03,omni_p6,
59,o,2022-07-09 06:15:00+00:00,0.3388888888888888,4.6,21202.5,True,metop03,omni_p6,
59,p,2022-07-09 14:00:00+00:00,217.8211111111111,-21.9,17551.0,True,metop03,omni_p6,
59,e,2022-07-10 07:15:00+00:00,0.5911111111111111,-63.6,35788.4,False,metop03,omni_p6,
60,o,2021-05-28 17:15:00+00:00,0.9533333333333333,80.6,40354.1,False,metop03,omni_p6,
60,p,2021-05-29 01:00:00+00:00,1039.5277777777778,-33.8,18319.3,True,metop03,omni_p6,
60,e,2021-05-30 05:00:00+00:00,0.2366666666666666,7.8,27416.1,False,metop03,omni_p6,
61,o,2020-11-29 23:45:00+00:00,545.6049425287357,-27.9,17856.0,True,metop03,omni_p6,
61,p,2020-12-01 01:00:00+00:00,1011.4983333333332,-45.2,20952.4,True,metop03,omni_p6,
61,e,2020-12-03 21:45:00+00:00,0.86,-20.2,28871.5,False,metop03,omni_p6,
